CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,Price,ln_Price
0.15936,0,6.91,0,0.448,6.211,32.2,5.7209,3,254.75,17.9,394.46,7.44,24.7,3.206803244
0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,254.75,17.9,389.39,9.55,21.2,3.054001182
0.17142,0,6.91,0,0.448,5.712,33.8,5.1004,3,254.75,17.9,396.9,10.21,19.3,2.960105096
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,254.75,17.9,396.9,14.15,20,2.995732274
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,254.75,17.9,392.74,18.8,16.6,2.809402695
0.25387,0,6.91,0,0.448,5.712,95.3,5.87,3,254.75,17.9,396.9,19.805,14.4,2.667228207
0.21977,0,6.91,0,0.448,5.712,62,6.0877,3,254.75,17.9,396.9,16.2,19.4,2.965273066
0.08873,21,5.64,0,0.439,5.963,45.7,6.267675,4,254.75,16.8,395.56,13.45,19.7,2.980618636
0.05077,21,5.64,0,0.439,6.115,63,6.267675,4,254.75,16.8,393.97,9.43,20.5,3.020424886
0.0536,21,5.64,0,0.439,6.511,32.2,6.267675,4,254.75,16.8,396.9,5.465,25,3.218875825
0.05077,21,5.64,0,0.439,5.998,32.2,6.267675,4,254.75,16.8,396.9,8.43,23.4,3.152736022
0.05077,28,4,0,0.4365,5.888,47.6,6.267675,3,469,20.2,396.9,14.8,18.9,2.939161922
0.05077,28,3.64,0,0.4365,6.94,32.2,6.267675,5,254.75,17.9,395.93,5.465,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.383,35.7,6.267675,3,313,17.3,396.9,5.77,24.7,3.206803244
0.05077,28,3.64,0,0.4365,6.816,40.5,6.267675,5,256,15.575,392.9,5.465,31.025,3.434792358
0.15445,25,5.13,0,0.453,6.145,32.2,6.267675,8,284,19.7,390.68,6.86,23.3,3.148453361
0.10328,25,5.13,0,0.453,5.927,47.2,6.267675,8,284,19.7,396.9,9.22,19.6,2.975529566
0.14932,25,5.13,0,0.453,5.741,66.2,6.267675,8,284,19.7,395.11,13.15,18.7,2.928523524
0.17171,25,5.13,0,0.453,5.966,93.4,6.267675,8,284,19.7,378.08,14.44,16,2.772588722
0.11027,25,5.13,0,0.453,6.456,67.8,6.267675,8,284,19.7,396.9,6.73,22.2,3.100092289
0.1265,25,5.13,0,0.453,6.762,43.4,6.267675,8,284,19.7,395.58,9.5,25,3.218875825
0.05077,17.5,3.64,0,0.4365,6.94,59.5,6.267675,3,254.75,18.6,393.24,8.05,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.29,32.2,6.267675,4,337,16.1,396.9,5.465,23.5,3.157000421
0.05077,28,3.64,0,0.4365,5.787,32.2,6.267675,4,337,16.1,396.9,10.24,19.4,2.965273066
0.05789,12.5,6.07,0,0.4365,5.878,32.2,6.267675,4,345,18.9,396.21,8.1,22,3.091042453
0.13554,12.5,6.07,0,0.4365,5.712,36.8,6.267675,4,345,18.9,396.9,13.09,17.4,2.856470206
0.12816,12.5,6.07,0,0.4365,5.885,33,6.267675,4,345,18.9,396.9,8.79,20.9,3.039749159
0.08826,0,10.81,0,0.4365,6.417,32.2,5.2873,4,305,19.2,383.73,6.72,24.2,3.186352633
0.15876,0,10.81,0,0.4365,5.961,32.2,5.2873,4,305,19.2,376.94,9.88,21.7,3.077312261
0.09164,0,10.81,0,0.4365,6.065,32.2,5.2873,4,305,19.2,390.91,5.52,22.8,3.126760536
0.19539,0,10.81,0,0.4365,6.245,32.2,5.2873,4,305,19.2,377.17,7.54,23.4,3.152736022
0.07896,0,12.83,0,0.437,6.273,32.2,4.2515,5,398,18.7,394.92,6.78,24.1,3.18221184
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94,21.4,3.063390922
0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,20,2.995732274
0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,20.8,3.034952987
0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2,3.054001182
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,20.3,3.010620886
0.05077,25,4.86,0,0.4365,6.727,33.5,5.4007,4,281,19,396.9,5.465,28,3.33220451
0.05077,25,4.86,0,0.4365,6.619,70.4,5.4007,4,281,19,395.63,7.22,23.9,3.173878459
0.05077,25,4.86,0,0.4365,6.302,32.2,5.4007,4,281,19,396.9,6.72,24.8,3.210843653
0.05077,25,4.86,0,0.4365,6.167,46.7,5.4007,4,281,19,390.64,7.51,22.9,3.131136911
0.05077,0,4.49,0,0.449,6.389,48,4.7794,3,254.75,18.5,396.9,9.62,23.9,3.173878459
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,254.75,18.5,392.3,6.53,26.6,3.280911216
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,254.75,18.5,395.99,12.86,22.5,3.113515309
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,254.75,18.5,395.15,8.44,22.2,3.100092289
0.0566,0,3.64,0,0.489,6.94,86.3,3.4217,3,270,17.8,396.9,5.5,23.6,3.161246712
0.05302,0,3.64,0,0.489,6.94,63.1,3.4145,3,270,17.8,396.06,5.7,28.7,3.356897123
0.05077,0,3.64,0,0.489,6.417,66.1,3.0923,3,270,17.8,392.18,8.81,22.6,3.117949906
0.05077,0,3.64,0,0.489,6.405,73.9,3.0921,3,270,17.8,393.55,8.2,22,3.091042453
0.05077,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,22.9,3.131136911
0.05077,28,15.04,0,0.464,6.211,32.2,3.6659,4,270,18.2,396.33,6.21,25,3.218875825
0.05077,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,20.6,3.025291076
0.12204,0,3.64,0,0.445,6.625,57.8,3.4952,3,276,18,357.98,6.65,28.4,3.346389145
0.11504,0,3.64,0,0.445,6.163,69.6,3.4952,3,276,18,391.83,11.34,21.4,3.063390922
0.12083,0,3.64,0,0.445,6.94,76,3.4952,3,276,18,396.9,5.465,31.025,3.434792358
0.08187,0,3.64,0,0.445,6.94,36.9,3.4952,3,276,18,393.53,5.465,31.025,3.434792358
0.0686,0,3.64,0,0.445,6.94,62.5,3.4952,3,276,18,396.9,6.19,31.025,3.434792358
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.2,394.76,9.42,27.5,3.314186005
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.2,395.58,7.67,26.5,3.277144733
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.2,343.8575,10.63,18.6,2.923161581
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.2,394.47,13.44,19.3,2.960105096
0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.2,392.69,12.33,20.1,3.000719815
0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.2,394.05,16.47,19.5,2.970414466
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.2,395.67,18.66,19.5,2.970414466
0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.2,387.69,14.09,20.4,3.015534901
0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.2,395.24,12.27,19.8,2.985681938
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.2,391.23,15.55,19.4,2.965273066
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.2,393.49,13,21.7,3.077312261
0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,22.8,3.126760536
0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21,18.8,2.93385687
0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09,18.7,2.928523524
0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,18.5,2.917770732
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,18.3,2.90690106
0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04,21.2,3.054001182
0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,19.2,2.954910279
0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,343.8575,15.37,20.4,3.015534901
0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61,19.3,2.960105096
0.06899,0,18.1,0,0.581,5.87,69.7,2.2577,3,254.75,19.1,389.15,14.37,22,3.091042453
0.07165,0,18.1,0,0.581,6.004,84.1,2.1974,3,254.75,19.1,377.67,14.27,20.3,3.010620886
0.09299,0,18.1,0,0.581,5.961,92.9,2.0869,3,254.75,19.1,378.09,17.93,20.5,3.020424886
0.15038,0,18.1,0,0.581,5.856,97,1.9444,3,254.75,19.1,370.31,19.805,17.3,2.850706502
0.09849,0,18.1,0,0.581,5.879,95.8,2.0063,3,254.75,19.1,379.38,17.58,18.8,2.93385687
0.16902,0,18.1,0,0.581,5.986,88.4,1.9929,3,254.75,19.1,385.02,14.81,21.4,3.063390922
0.38735,0,18.1,0,0.581,5.712,95.6,1.8022,3,254.75,19.1,359.29,19.805,15.7,2.753660712
0.25915,0,18.1,0,0.624,5.712,96,1.8022,4,437,20.2,392.11,17.19,16.2,2.785011242
0.32543,0,18.1,0,0.624,6.431,97.3,1.8125,4,437,20.2,396.9,15.39,18,2.890371758
0.88125,0,18.1,0,0.624,5.712,94.7,1.9799,4,437,20.2,396.9,18.34,14.3,2.660259537
0.34006,0,18.1,0,0.624,6.458,97.3,2.1185,4,437,20.2,395.04,12.6,19.2,2.954910279
1.19294,0,18.1,0,0.624,6.326,97.3,2.271,4,437,20.2,396.9,12.26,19.6,2.975529566
0.59005,0,18.1,0,0.624,6.372,97.3,2.3274,4,437,20.2,385.76,11.12,23,3.135494216
0.32982,0,18.1,0,0.624,5.822,95.4,2.4699,4,437,20.2,388.69,15.03,18.4,2.912350665
0.97617,0,18.1,0,0.624,5.757,97.3,2.346,4,437,20.2,343.8575,17.31,15.6,2.747270914
0.55778,0,18.1,0,0.624,6.335,97.3,2.1107,4,437,20.2,394.67,16.96,18.1,2.895911938
0.32264,0,18.1,0,0.624,5.942,93.5,1.9669,4,437,20.2,378.25,16.9,17.4,2.856470206
0.35233,0,18.1,0,0.624,6.454,97.3,1.8498,4,437,20.2,394.08,14.59,17.1,2.839078464
0.2498,0,18.1,0,0.624,5.857,97.3,1.8022,4,437,20.2,392.04,19.805,13.975,2.637265207
0.54452,0,18.1,0,0.624,6.151,97.3,1.8022,4,437,20.2,396.9,18.46,17.8,2.879198457
0.2909,0,18.1,0,0.624,6.174,93.6,1.8022,4,437,20.2,388.08,19.805,14,2.63905733
1.62864,0,18.1,0,0.624,5.712,97.3,1.8022,4,437,20.2,396.9,19.805,14.4,2.667228207
3.32105,0,18.1,0,0.693,5.712,97.3,1.8022,5,403,15.575,396.9,19.805,13.975,2.637265207
4.0974,0,18.1,0,0.693,5.712,97.3,1.8022,5,403,15.575,396.9,19.805,15.6,2.747270914
2.77974,0,18.1,0,0.693,5.712,97.3,1.8022,5,403,15.575,396.9,19.805,13.975,2.637265207
2.37934,0,18.1,0,0.693,6.13,97.3,1.8022,5,403,15.575,343.8575,19.805,13.975,2.637265207
2.15505,0,18.1,0,0.693,5.712,97.3,1.8022,5,403,15.575,343.8575,16.65,15.6,2.747270914
2.36862,0,18.1,0,0.693,5.712,95.7,1.8022,5,403,15.575,391.71,19.805,14.6,2.681021529
2.33099,0,18.1,0,0.693,5.712,93.8,1.8022,5,403,15.575,356.99,19.805,17.8,2.879198457
2.73397,0,18.1,0,0.693,5.712,94.9,1.8022,5,403,15.575,351.85,19.805,15.4,2.734367509
1.6566,0,18.1,0,0.693,6.122,97.3,1.8022,5,403,15.575,372.8,14.1,21.5,3.068052935
1.49632,0,18.1,0,0.693,5.712,97.3,1.8022,5,403,15.575,343.8575,13.28,19.6,2.975529566
1.12658,0,18.1,0,0.693,5.712,88,1.8022,5,403,15.575,343.8575,12.12,15.3,2.727852828
2.14918,0,18.1,0,0.693,5.712,97.3,1.8022,5,403,15.575,343.8575,15.79,19.4,2.965273066
1.41385,0,18.1,0,0.693,6.129,96,1.8022,5,403,15.575,343.8575,15.12,17,2.833213344
3.53501,0,18.1,0,0.693,6.152,82.6,1.8022,5,403,15.575,343.8575,15.02,15.6,2.747270914
2.44668,0,18.1,0,0.693,5.712,94,1.8022,5,403,15.575,343.8575,16.14,13.975,2.637265207
1.22358,0,18.1,0,0.605,6.94,97.3,1.8773,5,403,15.575,363.43,5.465,31.025,3.434792358
1.34284,0,18.1,0,0.605,6.066,97.3,1.8022,5,403,15.575,353.89,6.43,24.3,3.19047635
1.42502,0,18.1,0,0.693,6.51,97.3,1.8022,5,403,15.575,364.31,7.39,23.3,3.148453361
1.27346,0,18.1,0,0.605,6.25,92.6,1.8022,5,403,15.575,343.8575,5.5,27,3.295836866
1.46336,0,18.1,0,0.605,6.94,90.8,1.9709,5,403,15.575,374.43,5.465,31.025,3.434792358
1.83377,0,18.1,0,0.605,6.94,97.3,2.0407,5,403,15.575,389.61,5.465,31.025,3.434792358
1.51902,0,18.1,0,0.605,6.94,93.9,2.162,5,403,15.575,388.45,5.465,31.025,3.434792358
2.24236,0,18.1,0,0.605,5.854,91.8,2.422,5,403,15.575,395.11,11.64,22.7,3.122364924
2.924,0,18.1,0,0.605,6.101,93,2.2834,5,403,15.575,343.8575,9.81,25,3.218875825
2.01019,0,18.1,0,0.605,6.94,96.2,2.0459,5,403,15.575,369.3,5.465,31.025,3.434792358
1.80028,0,18.1,0,0.605,5.877,79.2,2.4259,5,403,15.575,343.8575,12.14,23.8,3.169685581
2.3004,0,18.1,0,0.605,6.319,96.1,2.1,5,403,15.575,343.8575,11.1,23.8,3.169685581
2.44953,0,18.1,0,0.605,6.402,95.2,2.2625,5,403,15.575,343.8575,11.32,22.3,3.104586678
1.20742,0,18.1,0,0.605,5.875,94.6,2.4259,5,403,15.575,343.8575,14.43,17.4,2.856470206
2.3139,0,18.1,0,0.605,5.88,97.3,2.3887,5,403,15.575,348.13,12.03,19.1,2.949688335
0.13914,0,4.05,0,0.51,5.712,88.5,2.5961,5,296,16.6,396.9,14.69,23.1,3.139832618
0.09178,0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04,23.6,3.161246712
0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64,22.6,3.117949906
0.06664,0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.465,29.4,3.380994674
0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11,23.2,3.144152279
0.05425,0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29,24.6,3.202746443
0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92,29.9,3.39785848
0.0578,0,3.64,0,0.488,6.94,58.4,2.829,3,254.75,17.8,396.9,5.465,31.025,3.434792358
0.06588,0,3.64,0,0.488,6.94,83.3,2.741,3,254.75,17.8,395.56,7.56,31.025,3.434792358
0.06888,0,3.64,0,0.488,6.144,62.2,2.5979,3,254.75,17.8,396.9,9.45,31.025,3.434792358
0.09103,0,3.64,0,0.488,6.94,92.2,2.7006,3,254.75,17.8,394.12,5.465,31.025,3.434792358
0.10008,0,3.64,0,0.488,6.563,95.6,2.847,3,254.75,17.8,396.9,5.68,31.025,3.434792358
0.08308,0,3.64,0,0.488,5.712,89.8,2.9879,3,254.75,17.8,391,13.98,26.4,3.27336401
0.06047,0,3.64,0,0.488,6.153,68.8,3.2797,3,254.75,17.8,387.11,13.15,29.6,3.387774361
0.05602,0,3.64,0,0.488,6.94,53.6,3.1992,3,254.75,17.8,392.63,5.465,31.025,3.434792358
0.07875,28,3.64,0,0.437,6.782,41.1,3.7886,5,398,15.575,393.87,6.68,31.025,3.434792358
0.12579,28,3.64,0,0.437,6.556,32.2,4.5667,5,398,15.575,382.84,5.465,29.8,3.394508394
0.0837,28,3.64,0,0.437,6.94,38.9,4.5667,5,398,15.575,396.9,5.465,31.025,3.434792358
0.09068,28,3.64,0,0.437,6.94,32.2,6.267675,5,398,15.575,377.68,5.465,31.025,3.434792358
0.06911,28,3.64,0,0.437,6.739,32.2,6.267675,5,398,15.575,389.71,5.465,30.5,3.417726684
0.08664,28,3.64,0,0.437,6.94,32.2,6.267675,5,398,15.575,390.49,5.465,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.8,32.2,6.2196,3,265,15.6,393.37,5.465,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.604,32.2,6.2196,3,265,15.6,376.7,5.465,29.1,3.370738174
0.05077,28,3.64,0,0.4365,6.94,32.2,5.6484,4,255,15.575,394.23,5.465,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.94,34.1,6.267675,3,329,15.575,396.9,5.465,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.94,36.6,6.267675,3,329,15.575,354.31,8.61,30.3,3.411147713
0.05077,28,3.64,0,0.4365,6.94,38.3,6.267675,3,329,15.575,392.2,6.62,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.94,32.2,6.267675,3,402,17,396.9,5.465,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.94,32.2,6.267675,3,402,17,384.3,5.465,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.162,38.4,6.267675,3,348,15.575,393.77,7.43,24.1,3.18221184
0.05077,28,3.64,0,0.4365,6.94,32.2,6.267675,3,348,15.575,395.38,5.465,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.94,33.2,5.118,4,254.75,15.575,392.78,5.465,31.025,3.434792358
0.05077,28,3.64,0,0.4365,6.94,32.2,5.118,4,254.75,15.575,390.55,5.465,31.025,3.434792358
0.13642,0,10.59,0,0.489,5.891,32.2,3.9454,4,277,18.6,396.9,10.87,22.6,3.117949906
0.22969,0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,394.87,10.97,24.4,3.194583132
0.25199,0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,389.43,18.06,22.5,3.113515309
0.13587,0,10.59,0,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66,24.4,3.194583132
0.43571,0,10.59,0,0.489,5.712,97.3,3.875,4,277,18.6,396.9,19.805,20,2.995732274
0.17446,0,10.59,0,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27,21.7,3.077312261
0.37578,0,10.59,0,0.489,5.712,88.6,3.665,4,277,18.6,395.24,19.805,19.3,2.960105096
0.21719,0,10.59,0,0.489,5.807,53.8,3.6526,4,277,18.6,390.94,16.03,22.4,3.109060959
0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38,28.1,3.335769576
0.28955,0,10.59,0,0.489,5.712,32.2,3.5875,4,277,18.6,348.93,19.805,23.7,3.165475048
0.19802,0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47,25,3.218875825
0.05077,0,13.89,0,0.55,5.888,56,3.1121,5,276,16.4,392.8,13.51,23.3,3.148453361
0.07013,0,13.89,0,0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69,28.7,3.356897123
0.11069,0,13.89,0,0.55,5.951,93.8,2.8893,5,276,16.4,396.9,17.92,21.5,3.068052935
0.11425,0,13.89,0,0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.5,23,3.135494216
0.35809,0,6.2,0,0.507,6.94,88.5,2.8617,8,307,17.4,391.7,9.71,26.7,3.284663565
0.40771,0,6.2,0,0.507,6.164,91.3,3.048,8,307,17.4,395.24,19.805,21.7,3.077312261
0.62356,0,6.2,0,0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93,27.5,3.314186005
0.6147,0,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,396.9,7.6,30.1,3.404525172
0.31533,0,6.2,0,0.504,6.94,78.3,2.8944,8,307,17.4,385.05,5.465,31.025,3.434792358
0.52693,0,6.2,0,0.504,6.94,83,2.8944,8,307,17.4,382,5.465,31.025,3.434792358
0.38214,0,6.2,0,0.504,6.94,86.5,3.2157,8,307,17.4,387.38,5.465,31.025,3.434792358
0.41238,0,6.2,0,0.504,6.94,79.9,3.2157,8,307,17.4,372.08,6.36,31.025,3.434792358
0.29819,0,6.2,0,0.504,6.94,32.2,3.3751,8,307,17.4,377.51,5.465,31.025,3.434792358
0.44178,0,6.2,0,0.504,6.552,32.2,3.3751,8,307,17.4,380.34,5.465,31.025,3.434792358
0.537,0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65,24.3,3.19047635
0.46296,0,6.2,0,0.504,6.94,76.9,3.6715,8,307,17.4,376.14,5.465,31.025,3.434792358
0.57529,0,6.2,0,0.507,6.94,73.3,3.8384,8,307,17.4,385.91,5.465,31.025,3.434792358
0.33147,0,6.2,0,0.507,6.94,70.4,3.6519,8,307,17.4,378.95,5.465,31.025,3.434792358
0.44791,0,6.2,0,0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05,29,3.36729583
0.33045,0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88,24,3.17805383
0.52058,0,6.2,0,0.507,6.631,76.5,4.148,8,307,17.4,388.45,9.54,25.1,3.222867846
0.51183,0,6.2,0,0.507,6.94,71.6,4.148,8,307,17.4,390.07,5.465,31.025,3.434792358
0.08244,28,4.93,0,0.4365,6.481,32.2,6.1899,6,300,16.6,379.41,6.36,23.7,3.165475048
0.09252,28,4.93,0,0.4365,6.606,42.2,6.1899,6,300,16.6,383.78,7.37,23.3,3.148453361
0.11329,28,4.93,0,0.4365,6.897,54.3,6.267675,6,300,16.6,391.25,11.38,22,3.091042453
0.10612,28,4.93,0,0.4365,6.095,65.1,6.267675,6,300,16.6,394.62,12.4,20.1,3.000719815
0.1029,28,4.93,0,0.4365,6.358,52.9,6.267675,6,300,16.6,372.75,11.22,22.2,3.100092289
0.12757,28,4.93,0,0.4365,6.393,32.2,6.267675,6,300,16.6,374.71,5.465,23.7,3.165475048
0.20608,22,5.86,0,0.4365,5.712,76.5,6.267675,7,330,19.1,372.49,12.5,17.6,2.867898902
0.19133,22,5.86,0,0.4365,5.712,70.2,6.267675,7,330,19.1,389.13,18.46,18.5,2.917770732
0.33983,22,5.86,0,0.4365,6.108,34.9,6.267675,7,330,19.1,390.18,9.16,24.3,3.19047635
